fa20-mt1			Question Type	Difficulty	Topics			
place question numbers below	questionName							
q2a	fa20-mt1-q2a	Coding, easy, Java, , , , , , , , 	Coding	easy	Java			
q2b	fa20-mt1-q2b	Coding, easy, Comparators, Java, , , , , , , 	Coding	easy	Comparators	Java		
q2c	fa20-mt1-q2c	Coding, moderate, Comparators, Java, , , , , , , 	Coding	moderate	Comparators	Java		
q2d	fa20-mt1-q2d	Coding, easy, Comparators, , , , , , , , 	Coding	easy	Comparators			
q3a	fa20-mt1-q3a	WWJD, moderate, DMS, , , , , , , , 	WWJD	moderate	DMS			
q3b	fa20-mt1-q3b	WWJD, moderate, DMS, , , , , , , , 	WWJD	moderate	DMS			
q3c	fa20-mt1-q3c	Conceptual, easy, DMS, , , , , , , , 	Conceptual	easy	DMS			
q4	fa20-mt1-q4	WWJD, hard, DMS, Inheritance, Java, , , , , , 	WWJD	hard	DMS	Inheritance	Java	
q5	fa20-mt1-q5	Coding, moderate, Lists, Arrays, Deques, , , , , , 	Coding	moderate	Lists	Arrays	Deques	
q6a	fa20-mt1-q6a	Testing, easy, Lists, Java, Inheritance, Abstraction, , , , , 	Testing	easy	Lists	Java	Inheritance	Abstraction
q6b	fa20-mt1-q6b	Coding, easy, Lists, Java, Inheritance, Abstraction, , , , , 	Coding	easy	Lists	Java	Inheritance	Abstraction
q6c	fa20-mt1-q6c	Testing, easy, Lists, Java, Inheritance, Abstraction, , , , , 	Testing	easy	Lists	Java	Inheritance	Abstraction
q6d	fa20-mt1-q6d	Coding, moderate, Lists, Java, Inheritance, Abstraction, , , , , 	Coding	moderate	Lists	Java	Inheritance	Abstraction
q7a	fa20-mt1-q7a	Coding, easy, Deques, , , , , , , , 	Coding	easy	Deques			
q7b	fa20-mt1-q7b	Coding, moderate, Deques, Abstraction, , , , , , , 	Coding	moderate	Deques	Abstraction		
q7c	fa20-mt1-q7c	Coding, moderate, Deques, Abstraction, , , , , , , 	Coding	moderate	Deques	Abstraction		
q7d	fa20-mt1-q7d	Coding, hard, Deques, Abstraction, , , , , , , 	Coding	hard	Deques	Abstraction		
q7e	fa20-mt1-q7e	Coding, hard, Deques, Abstraction, , , , , , , 	Coding	hard	Deques	Abstraction		
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						